"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"174049399";"4000   ";"10000";"A043055";"T001040";"PV20  ";"2019SJ00";"    1325"
"174049419";"4000   ";"10000";"A043055";"T001040";"PV21  ";"2019SJ00";"     159"
"174049439";"4000   ";"10000";"A043055";"T001040";"PV22  ";"2019SJ00";"     103"
"174049459";"4000   ";"10000";"A043055";"T001040";"PV23  ";"2019SJ00";"     601"
"174049479";"4000   ";"10000";"A043055";"T001040";"PV24  ";"2019SJ00";"     172"
"174049499";"4000   ";"10000";"A043055";"T001040";"PV25  ";"2019SJ00";"    2373"
"174049519";"4000   ";"10000";"A043055";"T001040";"PV26  ";"2019SJ00";"    2420"
"174049539";"4000   ";"10000";"A043055";"T001040";"PV27  ";"2019SJ00";"    4366"
"174049559";"4000   ";"10000";"A043055";"T001040";"PV28  ";"2019SJ00";"    5231"
"174049579";"4000   ";"10000";"A043055";"T001040";"PV29  ";"2019SJ00";"      52"
"174049599";"4000   ";"10000";"A043055";"T001040";"PV30  ";"2019SJ00";"    2075"
"174049619";"4000   ";"10000";"A043055";"T001040";"PV31  ";"2019SJ00";"    1081"
"174049639";"4000   ";"10000";"A043055";"T001040";"PV99  ";"2019SJ00";"    3329"
